"","created","user_id","method","currency","amount"
"1","2020-12-22 02:47:47.184+00",1672,"adm","gnt",979866.6769294
"2","2020-12-21 20:13:17.757+00",1672,"spei","mxn",199764786.59197
"3","2020-12-17 15:56:47.798+00",1726,"bt","btc",0.00108915
"4","2020-12-16 20:38:44.443+00",1726,"bt","btc",0.00121584
"5","2020-12-16 20:33:28.546+00",1726,"bt","btc",0.00121638
"6","2020-12-04 19:50:07.784+00",4771,"bt","ltc",1
"7","2020-12-04 19:40:55.571+00",4771,"bt","btc",0.5
"8","2020-12-04 19:39:57.834+00",4771,"bt","bch",1
"9","2020-12-04 19:38:30.362+00",4771,"bt","ars",2000
"10","2020-12-04 18:39:02.213+00",4771,"bt","mxn",500
"11","2020-12-04 18:38:14.921+00",4771,"bt","xrp",1
"12","2020-12-04 18:37:10.939+00",4771,"bt","dai",1
"13","2020-12-04 18:32:22.578+00",4771,"bt","gnt",1
"14","2020-12-04 18:28:44.206+00",4771,"bt","mana",1
"15","2020-12-04 18:27:41.584+00",4771,"bt","bat",1
"16","2020-12-04 18:12:56.888+00",4771,"bt","tusd",1
"17","2020-12-04 16:14:57.128+00",4771,"bt","tusd",1
"18","2020-12-04 16:09:07.295+00",4771,"bt","eth",1
"19","2020-12-04 15:43:38.463+00",4771,"bt","mxn",250
"20","2020-12-30 16:36:01.417+00",6374,"adm","usd",1e+06
"21","2020-12-30 16:36:01.369+00",6374,"spei","mxn",999999.9986968
"22","2020-12-30 16:36:01.319+00",6374,"adm","brl",990000
"23","2020-12-30 16:36:01.282+00",6374,"adm","ars",1e+06
"24","2020-12-30 16:36:01.235+00",6374,"adm","rbtc",1e+06
"25","2020-12-30 16:36:01.196+00",6374,"adm","mana",1e+06
"26","2020-12-30 16:36:01.153+00",6374,"adm","gnt",1e+06
"27","2020-12-30 16:36:01.095+00",6374,"adm","etc",1e+06
"28","2020-12-30 16:36:01.058+00",6374,"adm","dai",1e+06
"29","2020-12-30 16:36:01.014+00",6374,"adm","btc",999998.313032
"30","2020-12-30 16:36:00.958+00",6374,"adm","bsv",1e+06
"31","2020-12-30 16:36:00.867+00",6374,"adm","bch",1e+06
"32","2020-12-30 16:36:00.515+00",6374,"adm","bat",1e+06
"33","2020-12-30 16:34:45.778+00",6374,"adm","brl",10000
"34","2020-12-30 16:31:26.833+00",6374,"adm","brl",1e+06
"35","2020-12-30 16:29:26.381+00",6374,"adm","tusd",1e+06
"36","2020-12-30 16:28:51.843+00",6374,"spei","mxn",1e+06
"37","2020-12-18 09:15:14.059+00",7252,"bt","mxn",100
"38","2020-12-04 16:16:43.992+00",7303,"adm","usd",1e+05
"39","2020-12-04 16:16:43.954+00",7303,"spei","mxn",1e+05
"40","2020-12-04 16:16:43.924+00",7303,"adm","brl",1e+05
"41","2020-12-04 16:16:43.895+00",7303,"adm","ars",1e+05
"42","2020-12-04 16:16:43.853+00",7303,"adm","xrp",1e+05
