user_id,lastseen,gender,created,language,country_code,status,is_business,dob
1609,2020-01-07 21:54:56.768+00,M,2020-01-07 21:54:56.766+00,es,MX,active,f,1992-09-07
1612,2020-01-08 17:13:17.436+00,M,2020-01-08 17:13:17.434+00,en,AR,active,f,1992-05-19
1613,2020-01-08 19:20:50.17+00,M,2020-01-08 19:20:50.161+00,en,AR,active,f,1986-08-26
1615,2020-01-08 23:31:22.742+00,NULL,2020-01-08 23:28:54.309+00,en,MX,active,f,NULL
1628,2020-01-09 21:55:09.154+00,M,2020-01-09 21:55:09.153+00,es,AR,active,f,1986-12-12
1633,2020-01-15 18:52:00.561+00,NULL,2020-01-13 21:43:37.649+00,en,MX,active,f,NULL
1636,2020-03-05 22:17:59.371+00,F,2020-01-14 18:34:31.441+00,en,MX,active,f,1990-01-01
1639,2020-01-14 19:00:06.49+00,NULL,2020-01-14 19:00:06.49+00,es,AR,active,f,NULL
1673,2020-01-18 20:25:18.864+00,M,2020-01-18 20:25:18.864+00,en,MX,active,f,1992-09-07
1676,2020-01-18 21:48:33.611+00,M,2020-01-18 21:48:33.61+00,es,MX,active,f,1990-01-01
1677,2021-02-10 17:22:29.377+00,F,2020-01-18 23:16:34.353+00,en,MX,active,f,1993-12-12
1678,2020-12-17 01:39:34.891+00,M,2020-01-19 03:31:09.501+00,es,MX,active,f,1987-02-26
1692,2020-01-22 19:32:48.71+00,M,2020-01-22 19:32:48.709+00,es,MX,active,f,1992-09-07
1696,2020-01-24 18:38:10.913+00,M,2020-01-24 18:38:10.912+00,es,MX,active,f,1992-09-07
1709,2020-10-22 00:51:27.584+00,M,2020-01-28 23:50:06.529+00,en,MX,active,f,1991-08-20
1711,2020-01-29 00:11:07.918+00,NULL,2020-01-29 00:11:07.827+00,en,AR,active,f,NULL
1718,2021-07-30 21:18:32.918+00,M,2020-01-30 17:40:58.05+00,en,MX,active,f,1987-02-06
1720,2020-02-06 02:01:47.855+00,M,2020-02-05 14:13:50.348+00,en,AR,active,f,1988-10-12
1722,2020-02-05 21:41:55.006+00,NULL,2020-02-05 21:41:55.006+00,en,MX,active,f,NULL
1730,2020-02-07 15:36:15.074+00,NULL,2020-02-07 15:36:15.073+00,es,MX,active,f,1969-12-31
1731,2020-02-07 17:09:14.104+00,F,2020-02-07 17:09:14.004+00,en,MX,active,f,1980-01-01
1733,2020-02-07 19:48:46.852+00,M,2020-02-07 19:46:21.28+00,en,MX,active,f,1991-06-20
1738,2020-02-10 21:56:06.036+00,NULL,2020-02-10 21:56:05.881+00,en,MX,active,f,NULL
1743,2020-02-12 16:58:27.517+00,NULL,2020-02-12 16:58:27.516+00,es,MX,active,f,NULL
1753,2020-02-19 18:45:26.387+00,M,2020-02-19 16:28:00.097+00,en,MX,active,f,1990-01-19
1754,2020-02-19 19:33:06.045+00,M,2020-02-19 19:33:06.045+00,es,MX,active,f,1983-06-05
1759,2021-03-19 22:08:51.754+00,NULL,2020-02-20 20:03:17.739+00,en,MX,active,f,NULL
