"","created","user_id","method","currency","amount"
"1","2020-12-10 18:46:21.384+00",1718,"eth_erc20","usd",10.84
"2","2020-12-08 17:11:58.036+00",1718,"eth_erc20","usd",12.01
"3","2020-12-10 21:53:44.504+00",1718,"bt","btc",0.01
"4","2020-12-01 21:46:25.935+00",1718,"bt","eth",1
"5","2020-12-30 23:52:36.779+00",3309,"bt","mxn",200
"6","2020-12-30 23:52:36.136+00",3309,"bt","mxn",200
"7","2020-12-30 23:52:35.218+00",3309,"bt","mxn",200
"8","2020-12-30 23:52:34.371+00",3309,"bt","mxn",200
"9","2020-12-30 23:52:33.427+00",3309,"spei","mxn",50
"10","2020-12-30 23:52:20.216+00",3309,"bt","mxn",1
"11","2020-12-30 23:52:19.538+00",3309,"bt","mxn",1
"12","2020-12-30 23:52:18.386+00",3309,"bt","mxn",1
"13","2020-12-30 17:24:19.698+00",3309,"bt","mxn",200
"14","2020-12-30 17:24:19.003+00",3309,"bt","mxn",200
"15","2020-12-30 17:24:18.01+00",3309,"bt","mxn",200
"16","2020-12-30 17:24:16.956+00",3309,"bt","mxn",200
"17","2020-12-30 17:24:15.894+00",3309,"spei","mxn",50
"18","2020-12-30 17:24:03.305+00",3309,"bt","mxn",1
"19","2020-12-30 17:24:02.505+00",3309,"bt","mxn",1
"20","2020-12-30 17:24:01.444+00",3309,"bt","mxn",1
"21","2020-12-30 05:30:38.262+00",3309,"bt","mxn",200
"22","2020-12-30 05:30:37.604+00",3309,"bt","mxn",200
"23","2020-12-30 05:30:36.737+00",3309,"bt","mxn",200
"24","2020-12-30 05:30:35.82+00",3309,"bt","mxn",200
"25","2020-12-30 05:30:34.837+00",3309,"spei","mxn",50
"26","2020-12-30 05:30:22.313+00",3309,"bt","mxn",1
"27","2020-12-30 05:30:21.512+00",3309,"bt","mxn",1
"28","2020-12-30 05:30:20.342+00",3309,"bt","mxn",1
"29","2020-12-29 15:04:33.006+00",3309,"bt","mxn",200
"30","2020-12-29 15:04:32.491+00",3309,"bt","mxn",200
"31","2020-12-29 15:04:31.707+00",3309,"bt","mxn",200
"32","2020-12-29 15:04:30.851+00",3309,"bt","mxn",200
"33","2020-12-29 15:04:29.757+00",3309,"spei","mxn",50
"34","2020-12-29 15:04:16.991+00",3309,"bt","mxn",1
"35","2020-12-29 15:04:16.023+00",3309,"bt","mxn",1
"36","2020-12-29 15:04:14.703+00",3309,"bt","mxn",1
"37","2020-12-28 17:23:47.999+00",3309,"bt","mxn",200
"38","2020-12-28 17:23:47.493+00",3309,"bt","mxn",200
"39","2020-12-28 17:23:46.645+00",3309,"bt","mxn",200
"40","2020-12-28 17:23:45.714+00",3309,"bt","mxn",200
"41","2020-12-28 17:23:44.823+00",3309,"spei","mxn",50
"42","2020-12-28 17:23:32.327+00",3309,"bt","mxn",1
"43","2020-12-28 17:23:31.702+00",3309,"bt","mxn",1
"44","2020-12-28 17:23:30.647+00",3309,"bt","mxn",1
"45","2020-12-28 16:46:07.446+00",3309,"bt","mxn",200
"46","2020-12-28 16:46:06.772+00",3309,"bt","mxn",200
"47","2020-12-28 16:46:05.937+00",3309,"bt","mxn",200
"48","2020-12-28 16:46:05.023+00",3309,"bt","mxn",200
"49","2020-12-28 16:46:03.943+00",3309,"spei","mxn",50
"50","2020-12-28 16:45:50.637+00",3309,"bt","mxn",1
"51","2020-12-28 16:45:49.915+00",3309,"bt","mxn",1
"52","2020-12-28 16:45:48.796+00",3309,"bt","mxn",1
"53","2020-12-28 16:16:15.881+00",3309,"bt","mxn",200
"54","2020-12-28 16:16:15.114+00",3309,"bt","mxn",200
"55","2020-12-28 16:16:14.115+00",3309,"bt","mxn",200
"56","2020-12-28 16:16:13.228+00",3309,"bt","mxn",200
"57","2020-12-28 16:16:12.226+00",3309,"spei","mxn",50
"58","2020-12-28 16:15:59.629+00",3309,"bt","mxn",1
"59","2020-12-28 16:15:58.78+00",3309,"bt","mxn",1
"60","2020-12-28 16:15:57.557+00",3309,"bt","mxn",1
"61","2020-12-26 04:40:05.674+00",3309,"bt","mxn",200
"62","2020-12-26 04:40:05.067+00",3309,"bt","mxn",200
"63","2020-12-26 04:40:04.26+00",3309,"bt","mxn",200
"64","2020-12-26 04:40:03.436+00",3309,"bt","mxn",200
"65","2020-12-26 04:40:02.525+00",3309,"spei","mxn",50
"66","2020-12-26 04:39:50.35+00",3309,"bt","mxn",1
"67","2020-12-26 04:39:49.629+00",3309,"bt","mxn",1
"68","2020-12-26 04:39:48.779+00",3309,"bt","mxn",1
"69","2020-12-25 23:43:54.175+00",3309,"bt","mxn",200
"70","2020-12-25 23:43:53.368+00",3309,"bt","mxn",200
"71","2020-12-25 23:43:52.489+00",3309,"bt","mxn",200
"72","2020-12-25 23:43:51.489+00",3309,"bt","mxn",200
"73","2020-12-25 23:43:50.33+00",3309,"spei","mxn",50
"74","2020-12-25 23:43:37.738+00",3309,"bt","mxn",1
"75","2020-12-25 23:43:37.112+00",3309,"bt","mxn",1
"76","2020-12-25 23:43:36.05+00",3309,"bt","mxn",1
"77","2020-12-24 19:40:08.285+00",3309,"bt","mxn",200
"78","2020-12-24 19:40:07.754+00",3309,"bt","mxn",200
"79","2020-12-24 19:40:06.856+00",3309,"bt","mxn",200
"80","2020-12-24 19:40:05.941+00",3309,"bt","mxn",200
"81","2020-12-24 19:40:04.954+00",3309,"spei","mxn",50
"82","2020-12-24 19:39:53.376+00",3309,"bt","mxn",1
"83","2020-12-24 19:39:52.789+00",3309,"bt","mxn",1
"84","2020-12-24 19:39:51.937+00",3309,"bt","mxn",1
"85","2020-12-24 18:58:21.199+00",3309,"bt","mxn",200
"86","2020-12-24 18:58:20.579+00",3309,"bt","mxn",200
"87","2020-12-24 18:58:19.67+00",3309,"bt","mxn",200
"88","2020-12-24 18:58:18.803+00",3309,"bt","mxn",200
"89","2020-12-24 18:58:17.802+00",3309,"spei","mxn",50
"90","2020-12-24 18:58:04.931+00",3309,"bt","mxn",1
"91","2020-12-24 18:58:04.233+00",3309,"bt","mxn",1
"92","2020-12-24 18:58:02.866+00",3309,"bt","mxn",1
"93","2020-12-24 12:38:18.774+00",3309,"bt","mxn",200
"94","2020-12-24 12:38:18.075+00",3309,"bt","mxn",200
"95","2020-12-24 12:38:17.296+00",3309,"bt","mxn",200
"96","2020-12-24 12:38:16.313+00",3309,"bt","mxn",200
"97","2020-12-24 12:38:15.40+00",3309,"spei","mxn",50
"98","2020-12-24 12:38:03.153+00",3309,"bt","mxn",1
"99","2020-12-24 12:38:02.173+00",3309,"bt","mxn",1
"100","2020-12-24 12:38:01.234+00",3309,"bt","mxn",1
"101","2020-12-24 02:40:16.368+00",3309,"bt","mxn",200
"102","2020-12-24 02:40:15.697+00",3309,"bt","mxn",200
"103","2020-12-24 02:40:14.778+00",3309,"bt","mxn",200
"104","2020-12-24 02:40:13.827+00",3309,"bt","mxn",200
"105","2020-12-24 02:40:12.867+00",3309,"spei","mxn",50
"106","2020-12-24 02:39:58.846+00",3309,"bt","mxn",1
"107","2020-12-24 02:39:58.258+00",3309,"bt","mxn",1
"108","2020-12-24 02:39:57.178+00",3309,"bt","mxn",1
"109","2020-12-24 02:07:07.273+00",3309,"bt","mxn",200
"110","2020-12-24 02:07:06.592+00",3309,"bt","mxn",200
"111","2020-12-24 02:07:05.703+00",3309,"bt","mxn",200
"112","2020-12-24 02:07:04.835+00",3309,"bt","mxn",200
"113","2020-12-24 02:07:03.704+00",3309,"spei","mxn",50
"114","2020-12-24 02:06:49.264+00",3309,"bt","mxn",1
"115","2020-12-24 02:06:48.442+00",3309,"bt","mxn",1
"116","2020-12-24 02:06:47.401+00",3309,"bt","mxn",1
"117","2020-12-24 00:05:34.764+00",3309,"bt","mxn",200
